"특성별(1)",특성별(2),2022,2022,2022,2022,2022
"특성별(1)",특성별(2),1개 (%),2~3개 (%),4~5개 (%),6~8개 (%),평균 (개)
"전체",소계,46.80,36.60,10.50,6.00,2.20
"성별",남학생,48.00,34.90,9.50,7.60,2.25
"성별",여학생,45.20,39.10,11.80,3.90,2.14
"학령별",초등학교,46.70,38.50,10.60,4.10,2.09
"학령별",중학교,42.60,37.70,12.50,7.20,2.37
"학령별",고등학교,52.80,32.70,7.40,7.00,2.12
"학교특성별",남학교,49.30,33.10,9.60,8.10,2.26
"학교특성별",여학교,46.10,37.90,12.10,3.90,2.13
"학교특성별",남녀공학,46.40,35.90,10.30,7.30,2.29
"거주지역별",대도시,48.10,35.70,10.10,6.10,2.19
"거주지역별",중소도시,45.40,37.00,11.10,6.50,2.26
"거주지역별",읍면지역,49.30,37.80,8.70,4.20,2.03
"권역별",수도권,46.00,37.70,10.40,5.80,2.21
"권역별",충청권,48.40,32.40,10.50,8.80,2.32
"권역별",호남권,48.20,36.00,9.30,6.50,2.19
"권역별",동북권,47.50,34.90,11.10,6.50,2.22
"권역별",동남권,47.00,37.90,10.90,4.20,2.11
"인터넷 이용 시간별",1시간 미만,52.80,26.10,9.30,11.70,2.41
"인터넷 이용 시간별",1~2시간 미만,54.60,32.40,7.60,5.50,2.02
"인터넷 이용 시간별",2~3시간 미만,46.20,39.10,9.20,5.50,2.16
"인터넷 이용 시간별",3~5시간 미만,48.30,34.50,12.60,4.60,2.16
"인터넷 이용 시간별",5시간 이상,41.00,40.40,11.00,7.60,2.36
"가정형편별",상위,41.50,35.80,13.30,9.40,2.50
"가정형편별",중위,47.50,37.00,10.10,5.40,2.16
"가정형편별",하위,48.70,28.60,11.10,11.50,2.50
"학업성적별",상위권,44.30,37.60,10.00,8.10,2.31
"학업성적별",중위권,47.40,37.20,10.20,5.20,2.15
"학업성적별",하위권,47.90,28.90,14.20,9.00,2.48
"사이버폭력 예방교육별",경험 있음,46.70,37.40,10.60,5.30,2.17
"사이버폭력 예방교육별",경험 없음,47.90,30.10,9.60,12.50,2.52
