"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번,거의 매일
"전체",소계,55.2,26.5,9.3,9.0
"성별",남학생,53.7,27.2,9.2,9.9
"성별",여학생,60.1,24.1,9.4,6.3
"학령별",초등학교,70.0,16.8,3.0,10.2
"학령별",중학교,46.2,29.8,16.3,7.6
"학령별",고등학교,53.4,32.7,3.5,10.3
"학교특성별",남학교,65.9,26.6,4.6,3.0
"학교특성별",여학교,46.8,44.0,0.0,9.2
"학교특성별",남녀공학,43.5,31.1,15.2,10.2
"거주지역별",대도시,60.1,22.8,7.2,9.9
"거주지역별",중소도시,51.6,29.6,9.5,9.3
"거주지역별",읍면지역,54.0,25.4,16.6,4.1
"권역별",수도권,51.6,33.0,7.1,8.4
"권역별",충청권,47.0,18.8,20.0,14.1
"권역별",호남권,48.9,34.1,13.5,3.6
"권역별",동북권,64.5,14.9,5.3,15.4
"권역별",동남권,78.3,17.0,1.2,3.6
"인터넷 이용 시간별",1시간 미만,63.6,21.7,0.0,14.8
"인터넷 이용 시간별",1~2시간 미만,67.0,9.1,8.8,15.1
"인터넷 이용 시간별",2~3시간 미만,67.8,26.2,4.2,1.8
"인터넷 이용 시간별",3~5시간 미만,43.9,32.7,12.2,11.2
"인터넷 이용 시간별",5시간 이상,49.5,30.0,12.6,7.9
"가정형편별",상위,56.0,23.3,4.8,15.9
"가정형편별",중위,55.1,27.9,11.4,5.6
"가정형편별",하위,53.8,21.7,0.0,24.5
"학업성적별",상위권,44.7,29.4,1.7,24.2
"학업성적별",중위권,55.6,29.5,12.4,2.5
"학업성적별",하위권,72.4,7.9,9.1,10.6
"사이버폭력 예방교육별",경험 있음,57.1,23.4,9.4,10.1
"사이버폭력 예방교육별",경험 없음,49.3,36.2,8.8,5.8
