"특성별(1)",특성별(2),2022,2022,2022,2022,2022
"특성별(1)",특성별(2),1개 (%),2~3개 (%),4~5개 (%),6~8개 (%),평균 (개)
"전체",소계,67.60,23.40,3.70,5.30,1.77
"성별",남학생,66.90,23.00,3.90,6.20,1.83
"성별",여학생,69.20,24.30,3.20,3.30,1.63
"학령별",초등학교,66.70,26.60,4.20,2.40,1.64
"학령별",중학교,66.70,22.60,4.20,6.50,1.86
"학령별",고등학교,70.70,19.70,2.00,7.60,1.80
"학교특성별",남학교,63.90,25.10,4.30,6.70,1.90
"학교특성별",여학교,74.50,20.40,1.20,3.90,1.54
"학교특성별",남녀공학,68.80,20.60,3.30,7.30,1.85
"거주지역별",대도시,67.90,23.20,4.20,4.70,1.75
"거주지역별",중소도시,66.60,23.90,3.50,6.00,1.81
"거주지역별",읍면지역,71.20,21.90,3.00,3.90,1.63
"권역별",수도권,69.20,23.40,3.00,4.50,1.70
"권역별",충청권,66.20,19.10,3.90,10.80,2.09
"권역별",호남권,63.50,26.40,4.30,5.70,1.84
"권역별",동북권,68.70,22.10,3.40,5.80,1.74
"권역별",동남권,66.00,25.50,5.50,3.00,1.70
"인터넷 이용 시간별",1시간 미만,59.20,23.20,6.80,10.80,2.24
"인터넷 이용 시간별",1~2시간 미만,68.80,23.70,2.60,4.80,1.73
"인터넷 이용 시간별",2~3시간 미만,69.00,21.70,5.70,3.60,1.69
"인터넷 이용 시간별",3~5시간 미만,67.50,23.00,3.50,6.00,1.79
"인터넷 이용 시간별",5시간 이상,67.10,24.90,2.60,5.40,1.76
"가정형편별",상위,58.00,24.30,6.60,11.20,2.30
"가정형편별",중위,69.40,23.20,3.20,4.10,1.67
"가정형편별",하위,48.30,25.50,7.20,19.00,2.86
"학업성적별",상위권,63.50,24.70,4.00,7.80,1.97
"학업성적별",중위권,69.20,23.30,3.20,4.20,1.68
"학업성적별",하위권,62.70,21.10,7.20,9.00,2.11
"사이버폭력 예방교육별",경험 있음,68.60,24.00,3.40,4.00,1.68
"사이버폭력 예방교육별",경험 없음,59.40,18.20,5.90,16.50,2.55
