"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번,거의 매일
"전체",소계,61.5,16.7,12.2,9.6
"성별",남학생,59.3,16.5,14.1,10.1
"성별",여학생,67.0,17.3,7.3,8.3
"학령별",초등학교,77.3,10.4,8.0,4.3
"학령별",중학교,52.0,18.9,14.3,14.7
"학령별",고등학교,50.2,23.8,15.8,10.3
"학교특성별",남학교,53.9,28.9,15.1,2.1
"학교특성별",여학교,53.1,13.1,21.5,12.3
"학교특성별",남녀공학,50.5,18.9,14.4,16.2
"거주지역별",대도시,61.9,17.2,10.2,10.7
"거주지역별",중소도시,59.8,16.8,15.3,8.0
"거주지역별",읍면지역,69.2,14.9,1.5,14.4
"권역별",수도권,66.4,13.3,12.4,7.9
"권역별",충청권,49.0,14.2,18.0,18.8
"권역별",호남권,58.3,30.3,2.1,9.3
"권역별",동북권,66.5,11.3,8.9,13.3
"권역별",동남권,62.8,21.2,14.5,1.6
"인터넷 이용 시간별",1시간 미만,67.9,6.2,14.8,11.2
"인터넷 이용 시간별",1~2시간 미만,70.5,10.9,0.0,18.6
"인터넷 이용 시간별",2~3시간 미만,64.2,10.8,23.7,1.3
"인터넷 이용 시간별",3~5시간 미만,62.5,17.1,6.6,13.8
"인터넷 이용 시간별",5시간 이상,53.0,26.4,12.3,8.3
"가정형편별",상위,58.8,9.9,19.6,11.7
"가정형편별",중위,63.3,18.2,10.8,7.7
"가정형편별",하위,46.5,18.1,5.7,29.8
"학업성적별",상위권,59.9,12.8,10.1,17.3
"학업성적별",중위권,58.8,20.4,14.3,6.5
"학업성적별",하위권,81.8,2.4,3.7,12.1
"사이버폭력 예방교육별",경험 있음,66.6,11.9,12.3,9.1
"사이버폭력 예방교육별",경험 없음,41.1,36.0,11.5,11.5
