"특성별(1)",특성별(2),2022,2022,2022,2022,2022
"특성별(1)",특성별(2),1개 (%),2~3개 (%),4~5개 (%),6~8개 (%),평균 (개)
"전체",소계,54.30,21.00,9.20,15.60,2.45
"성별",남성,57.20,20.30,7.30,15.20,2.35
"성별",여성,49.80,22.20,12.00,16.00,2.60
"연령별",19~29세,59.20,22.20,8.60,10.00,2.17
"연령별",30~39세,44.20,25.20,10.40,20.30,2.82
"연령별",40~49세,55.40,21.30,8.00,15.20,2.31
"연령별",50~59세,52.30,17.20,5.10,25.40,2.84
"연령별",60~69세,55.90,11.10,18.20,14.70,2.65
"학력별",중졸,72.20,14.60,0.00,13.20,1.81
"학력별",고졸,53.00,21.80,10.40,14.80,2.52
"학력별",대졸이상,54.30,20.80,8.80,16.10,2.44
"직업별",전문관리,65.80,7.30,18.00,8.80,2.13
"직업별",사무,45.80,19.70,8.50,26.10,2.97
"직업별",서비스판매,54.70,25.30,5.40,14.60,2.34
"직업별",기능노무,86.00,9.90,0.00,4.10,1.30
"직업별",학생,66.00,22.20,11.80,0.00,1.63
"직업별",주부,43.40,24.10,23.20,9.30,2.76
"직업별",무직/기타,57.60,24.00,12.90,5.60,2.13
"혼인상태별",미혼,56.10,25.90,8.30,9.70,2.16
"혼인상태별",기혼,48.50,17.70,10.90,22.80,2.87
"혼인상태별",사별/이혼/기타,93.50,6.50,0.00,0.00,1.13
"가구주여부별",가구주,55.40,21.50,5.40,17.70,2.42
"가구주여부별",가구원,53.00,20.60,13.40,13.10,2.49
"월평균 가구소득별",100만원 미만,25.30,74.70,0.00,0.00,1.97
"월평균 가구소득별",100~200만원 미만,67.10,20.80,12.10,0.00,1.57
"월평균 가구소득별",200~300만원 미만,63.90,28.10,3.20,4.80,1.70
"월평균 가구소득별",300~400만원 미만,57.60,24.90,10.40,7.10,2.09
"월평균 가구소득별",400~500만원 미만,45.90,16.90,9.70,27.50,3.05
"월평균 가구소득별",500~600만원 미만,51.00,13.20,12.20,23.50,2.96
"월평균 가구소득별",600~700만원 미만,70.80,21.80,7.40,0.00,1.52
"월평균 가구소득별",700만원 이상,65.40,34.60,0.00,0.00,1.46
"동거 가구원수별",1인,60.70,27.50,3.60,8.20,1.91
"동거 가구원수별",2인,45.30,19.40,13.80,21.40,2.90
"동거 가구원수별",3인,55.70,22.50,12.30,9.50,2.32
"동거 가구원수별",4인 이상,55.40,15.30,5.80,23.50,2.65
"거주지역별",대도시,48.10,17.80,12.00,22.10,2.90
"거주지역별",중소도시,65.90,28.80,4.00,1.40,1.54
"거주지역별",읍면지역,71.10,21.70,0.00,7.30,1.58
"권역별",수도권,44.60,23.40,11.70,20.30,2.84
"권역별",충청권,80.40,19.60,0.00,0.00,1.29
"권역별",호남권,100.00,0.00,0.00,0.00,1.00
"권역별",동북권,68.70,21.40,5.90,4.00,1.59
"권역별",동남권,85.90,14.10,0.00,0.00,1.18
"인터넷 이용시간별",1시간 미만,49.00,19.50,17.00,14.50,2.69
"인터넷 이용시간별",1~2시간 미만,35.40,16.50,12.50,35.60,3.62
"인터넷 이용시간별",2~3시간 미만,56.30,33.40,5.60,4.70,1.84
"인터넷 이용시간별",3~5시간 미만,78.70,15.80,5.60,0.00,1.43
"인터넷 이용시간별",5시간 이상,71.40,20.90,4.10,3.70,1.61
"사이버폭력 예방교육별",경험 있음,53.90,31.70,7.20,7.30,2.05
"사이버폭력 예방교육별",경험 없음,54.40,18.20,9.70,17.70,2.56
