"특성별(1)",특성별(2),2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번
"전체",소계,75.5,16.5,8.0
"성별",남성,67.8,24.4,7.8
"성별",여성,85.6,6.1,8.3
"연령별",19~29세,75.7,14.6,9.7
"연령별",30~39세,64.5,24.0,11.4
"연령별",40~49세,82.0,18.0,0.0
"연령별",50~59세,94.2,5.8,0.0
"연령별",60~69세,61.0,22.8,16.2
"학력별",초졸이하,50.3,0.0,49.7
"학력별",중졸,67.0,33.0,0.0
"학력별",고졸,74.6,11.2,14.2
"학력별",대졸이상,77.1,19.7,3.2
"직업별",전문관리,50.3,49.7,0.0
"직업별",사무,78.2,14.7,7.1
"직업별",서비스판매,70.8,17.6,11.6
"직업별",기능노무,59.8,40.2,0.0
"직업별",학생,83.1,8.0,8.9
"직업별",주부,92.0,8.0,0.0
"직업별",무직/기타,67.3,0.0,32.7
"혼인상태별",미혼,74.8,14.6,10.6
"혼인상태별",기혼,80.5,17.9,1.7
"혼인상태별",사별/이혼/기타,20.1,20.3,59.6
"가구주여부별",가구주,69.3,20.8,9.9
"가구주여부별",가구원,82.5,11.6,5.9
"월평균 가구소득별",100만원 미만,32.9,34.6,32.5
"월평균 가구소득별",100~200만원 미만,67.3,0.0,32.7
"월평균 가구소득별",200~300만원 미만,56.8,13.4,29.9
"월평균 가구소득별",300~400만원 미만,79.4,15.5,5.1
"월평균 가구소득별",400~500만원 미만,91.3,8.7,0.0
"월평균 가구소득별",500~600만원 미만,66.8,20.2,13.0
"월평균 가구소득별",600~700만원 미만,74.9,25.1,0.0
"월평균 가구소득별",700만원 이상,66.1,33.9,0.0
"동거 가구원수별",1인,57.3,19.1,23.6
"동거 가구원수별",2인,72.4,18.0,9.6
"동거 가구원수별",3인,75.4,24.6,0.0
"동거 가구원수별",4인 이상,92.2,4.1,3.7
"거주지역별",대도시,85.6,10.7,3.7
"거주지역별",중소도시,43.9,36.9,19.2
"거주지역별",읍면지역,67.0,0.0,33.0
"권역별",수도권,75.6,16.7,7.8
"권역별",충청권,68.6,31.4,0.0
"권역별",호남권,71.1,0.0,28.9
"권역별",동북권,80.1,19.9,0.0
"권역별",동남권,75.4,13.2,11.4
"인터넷 이용시간별",1시간 미만,68.3,31.7,0.0
"인터넷 이용시간별",1~2시간 미만,84.4,9.7,5.8
"인터넷 이용시간별",2~3시간 미만,66.1,19.8,14.0
"인터넷 이용시간별",3~5시간 미만,66.3,17.4,16.3
"인터넷 이용시간별",5시간 이상,67.3,23.1,9.6
"사이버폭력 예방교육별",경험 있음,78.6,15.9,5.5
"사이버폭력 예방교육별",경험 없음,74.8,16.6,8.6
