"특성별(1)",특성별(2),2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번
"전체",소계,76.3,18.1,5.6
"성별",남성,73.1,20.7,6.3
"성별",여성,80.6,14.6,4.7
"연령별",19~29세,72.7,18.8,8.5
"연령별",30~39세,77.0,16.9,6.1
"연령별",40~49세,79.7,20.3,0.0
"연령별",50~59세,78.5,16.8,4.7
"연령별",60~69세,84.3,15.7,0.0
"학력별",중졸,100.0,0.0,0.0
"학력별",고졸,68.8,20.4,10.8
"학력별",대졸이상,80.4,17.1,2.5
"직업별",전문관리,90.9,9.1,0.0
"직업별",사무,77.0,21.4,1.6
"직업별",서비스판매,76.1,15.6,8.3
"직업별",기능노무,82.5,8.2,9.4
"직업별",학생,54.5,30.2,15.3
"직업별",주부,87.5,12.5,0.0
"직업별",무직/기타,79.5,20.5,0.0
"혼인상태별",미혼,75.0,19.9,5.1
"혼인상태별",기혼,79.4,14.7,5.9
"혼인상태별",사별/이혼/기타,63.7,28.2,8.1
"가구주여부별",가구주,76.0,18.6,5.4
"가구주여부별",가구원,76.6,17.6,5.8
"월평균 가구소득별",100만원 미만,86.4,0.0,13.6
"월평균 가구소득별",100~200만원 미만,41.8,39.2,19.0
"월평균 가구소득별",200~300만원 미만,87.3,12.7,0.0
"월평균 가구소득별",300~400만원 미만,77.0,13.6,9.4
"월평균 가구소득별",400~500만원 미만,67.2,30.3,2.5
"월평균 가구소득별",500~600만원 미만,79.5,14.2,6.3
"월평균 가구소득별",600~700만원 미만,73.5,26.5,0.0
"월평균 가구소득별",700만원 이상,82.4,9.0,8.7
"동거 가구원수별",1인,74.9,18.8,6.3
"동거 가구원수별",2인,76.7,13.6,9.7
"동거 가구원수별",3인,76.3,17.2,6.6
"동거 가구원수별",4인 이상,77.6,22.4,0.0
"거주지역별",대도시,77.8,20.4,1.8
"거주지역별",중소도시,80.1,6.3,13.6
"거주지역별",읍면지역,53.2,34.9,11.8
"권역별",수도권,76.3,18.8,4.9
"권역별",충청권,80.5,19.5,0.0
"권역별",호남권,38.3,44.0,17.7
"권역별",동북권,91.3,4.4,4.3
"권역별",동남권,89.9,5.3,4.9
"인터넷 이용시간별",1시간 미만,89.6,10.4,0.0
"인터넷 이용시간별",1~2시간 미만,72.0,28.0,0.0
"인터넷 이용시간별",2~3시간 미만,69.6,17.5,12.9
"인터넷 이용시간별",3~5시간 미만,72.3,20.2,7.4
"인터넷 이용시간별",5시간 이상,83.7,9.2,7.1
"사이버폭력 예방교육별",경험 있음,66.5,25.4,8.1
"사이버폭력 예방교육별",경험 없음,78.6,16.4,5.0
