"특성별(1)",특성별(2),2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번
"전체",소계,84.0,12.4,3.6
"성별",남성,83.7,12.0,4.3
"성별",여성,84.4,12.8,2.8
"연령별",19~29세,84.6,4.2,11.2
"연령별",30~39세,72.9,27.1,0.0
"연령별",40~49세,81.4,18.6,0.0
"연령별",50~59세,100.0,0.0,0.0
"연령별",60~69세,100.0,0.0,0.0
"학력별",중졸,100.0,0.0,0.0
"학력별",고졸,81.1,18.9,0.0
"학력별",대졸이상,85.2,9.5,5.3
"직업별",전문관리,74.4,25.6,0.0
"직업별",사무,82.6,11.8,5.6
"직업별",서비스판매,82.4,14.2,3.4
"직업별",기능노무,100.0,0.0,0.0
"직업별",학생,100.0,0.0,0.0
"직업별",주부,100.0,0.0,0.0
"직업별",무직/기타,84.5,15.5,0.0
"혼인상태별",미혼,79.5,11.8,8.7
"혼인상태별",기혼,86.6,13.4,0.0
"혼인상태별",사별/이혼/기타,100.0,0.0,0.0
"가구주여부별",가구주,78.0,19.7,2.3
"가구주여부별",가구원,90.2,5.0,4.8
"월평균 가구소득별",100만원 미만,52.7,47.3,0.0
"월평균 가구소득별",100~200만원 미만,100.0,0.0,0.0
"월평균 가구소득별",200~300만원 미만,57.4,42.6,0.0
"월평균 가구소득별",300~400만원 미만,81.4,7.0,11.6
"월평균 가구소득별",400~500만원 미만,92.8,7.2,0.0
"월평균 가구소득별",500~600만원 미만,87.2,12.8,0.0
"월평균 가구소득별",600~700만원 미만,33.6,32.7,33.7
"월평균 가구소득별",700만원 이상,100.0,0.0,0.0
"동거 가구원수별",1인,58.5,33.3,8.2
"동거 가구원수별",2인,77.0,19.8,3.2
"동거 가구원수별",3인,95.8,0.0,4.2
"동거 가구원수별",4인 이상,93.9,6.1,0.0
"거주지역별",대도시,90.4,7.0,2.6
"거주지역별",중소도시,49.0,40.4,10.7
"거주지역별",읍면지역,0.0,100.0,0.0
"권역별",수도권,85.3,12.1,2.5
"권역별",동북권,79.5,0.0,20.5
"권역별",동남권,0.0,100.0,0.0
"인터넷 이용시간별",1시간 미만,78.4,21.6,0.0
"인터넷 이용시간별",1~2시간 미만,86.0,9.2,4.7
"인터넷 이용시간별",2~3시간 미만,89.0,11.0,0.0
"인터넷 이용시간별",3~5시간 미만,88.6,0.0,11.4
"인터넷 이용시간별",5시간 이상,72.4,27.6,0.0
"사이버폭력 예방교육별",경험 있음,72.0,20.7,7.3
"사이버폭력 예방교육별",경험 없음,86.7,10.6,2.7
