"특성별(1)",특성별(2),2022,2022,2022
"특성별(1)",특성별(2),1년에 한두 번,6개월에 한두 번,한 달에 한두 번
"전체",소계,83.3,14.9,1.8
"성별",남성,84.6,15.4,0.0
"성별",여성,81.9,14.4,3.6
"연령별",19~29세,81.9,18.1,0.0
"연령별",30~39세,80.1,9.8,10.1
"연령별",40~49세,87.5,12.5,0.0
"연령별",50~59세,82.3,17.7,0.0
"연령별",60~69세,87.6,12.4,0.0
"학력별",고졸,73.3,22.5,4.2
"학력별",대졸이상,90.6,9.4,0.0
"직업별",전문관리,0.0,100.0,0.0
"직업별",사무,88.1,8.3,3.6
"직업별",서비스판매,75.3,24.7,0.0
"직업별",학생,100.0,0.0,0.0
"직업별",주부,79.6,20.4,0.0
"직업별",무직/기타,100.0,0.0,0.0
"혼인상태별",미혼,78.6,16.6,4.8
"혼인상태별",기혼,88.5,11.5,0.0
"혼인상태별",사별/이혼/기타,0.0,100.0,0.0
"가구주여부별",가구주,82.2,13.6,4.2
"가구주여부별",가구원,84.2,15.8,0.0
"월평균 가구소득별",100~200만원 미만,100.0,0.0,0.0
"월평균 가구소득별",200~300만원 미만,28.2,35.2,36.6
"월평균 가구소득별",300~400만원 미만,87.6,12.4,0.0
"월평균 가구소득별",400~500만원 미만,94.1,5.9,0.0
"월평균 가구소득별",500~600만원 미만,78.2,21.8,0.0
"동거 가구원수별",1인,48.4,36.1,15.6
"동거 가구원수별",2인,70.9,29.1,0.0
"동거 가구원수별",3인,100.0,0.0,0.0
"동거 가구원수별",4인 이상,88.1,11.9,0.0
"거주지역별",대도시,84.7,13.4,1.8
"거주지역별",중소도시,100.0,0.0,0.0
"거주지역별",읍면지역,0.0,100.0,0.0
"권역별",수도권,84.5,13.6,1.8
"권역별",충청권,0.0,100.0,0.0
"권역별",동북권,100.0,0.0,0.0
"인터넷 이용시간별",1시간 미만,79.9,20.1,0.0
"인터넷 이용시간별",1~2시간 미만,85.2,12.0,2.7
"인터넷 이용시간별",2~3시간 미만,100.0,0.0,0.0
"인터넷 이용시간별",3~5시간 미만,100.0,0.0,0.0
"인터넷 이용시간별",5시간 이상,35.4,64.6,0.0
"사이버폭력 예방교육별",경험 있음,85.5,14.5,0.0
"사이버폭력 예방교육별",경험 없음,83.0,15.0,2.0
